State,Country,Place,type,budget,season,activities
Idaho,South Georgia and the South Sandwich Islands,Thomas Roads Beach,Beach,luxury,Dec-Feb,"shopping, culture, wildlife"
Goa,India,Dudhsagar Falls,Beach,low,Mar-May,"food, technology, temple visit, nightlife"
Maryland,Slovenia,Peterson Manor Temple,Desert,medium,Dec-Feb,"wildlife, food"
Texas,Tunisia,Anna Isle Beach,Cultural,medium,Sep-Nov,"technology, trekking"
West Bengal,India,Sundarbans,Cultural,high,Jan-Mar,"temple visit, yoga, nightlife"
Delhi,India,India Gate,Adventure,luxury,Dec-Feb,"skiing, wildlife, surfing"
Alaska,American Samoa,Hanson Harbor Fort,Urban,medium,Sep-Nov,"culture, trekking, safari, shopping"
North Carolina,Greenland,Brooks Brooks Bay,Beach,high,Mar-May,"wildlife, temple visit"
Minnesota,Argentina,Susan Corner Temple,Historical,medium,Mar-May,"wildlife, temple visit, trekking, safari"
New Jersey,Burkina Faso,Lori Rest Bay,Urban,low,June-Aug,"technology, relaxing"
New York,Algeria,Eugene Light Tower,Adventure,medium,June-Aug,"skiing, temple visit, trekking, wildlife"
Virginia,France,Mccarty Manors Bay,Mountain,low,Jan-Mar,"temple visit, surfing, trekking"
Louisiana,Grenada,Diane Glens Fort,Mountain,low,Mar-May,"food, safari, temple visit, technology"
South Carolina,Brazil,Greene Keys Bay,Beach,medium,Mar-May,"trekking, skiing"
Kerala,India,Alleppey Backwaters,Cultural,high,June-Aug,"nightlife, food, shopping, wildlife"
Tamil Nadu,India,Ooty,Mountain,medium,Jan-Mar,"safari, culture, yoga, food"
Uttar Pradesh,India,Taj Mahal,Adventure,medium,Dec-Feb,"culture, shopping"
Maine,Kiribati,Julia Mills Bay,Mountain,low,Jan-Mar,"nightlife, wildlife, relaxing"
Wyoming,Slovenia,Susan Groves Park,Beach,high,Mar-May,"shopping, safari, relaxing, skiing"
Rhode Island,Mozambique,Maureen Streets Bay,Cultural,medium,Sep-Nov,"surfing, food, trekking, nightlife"
Minnesota,India,Ray Roads Bay,Cultural,luxury,Sep-Nov,"nightlife, temple visit, culture, technology"
Virginia,Gambia,Smith Highway Temple,Historical,high,Sep-Nov,"relaxing, technology, food, culture"
New Jersey,Antarctica (the territory South of 60 deg S),Christina Inlet Beach,Urban,high,Dec-Feb,"nightlife, safari, culture, shopping"
Arizona,Montenegro,Sheri Camp Tower,Adventure,high,Jan-Mar,"trekking, yoga"
Oklahoma,Equatorial Guinea,Franklin Track Park,Adventure,low,June-Aug,"wildlife, nightlife, technology"
South Dakota,Guinea,Sutton Valley Fort,Mountain,luxury,Dec-Feb,"shopping, surfing, wildlife, skiing"
Maharashtra,India,Gateway of India,Cultural,low,Dec-Feb,"nightlife, safari, skiing"
Kentucky,Australia,Lauren Union Beach,Cultural,luxury,June-Aug,"nightlife, wildlife"
Karnataka,India,Mysore Palace,Cultural,low,Jan-Mar,"relaxing, safari"
Montana,Chad,Toni Estates Park,Desert,luxury,June-Aug,"temple visit, culture, food, yoga"
Georgia,Madagascar,Schultz Spurs Fort,Desert,high,Jan-Mar,"temple visit, relaxing, wildlife"
Missouri,Bulgaria,Thompson Manor Beach,Desert,high,Sep-Nov,"food, yoga"
Iowa,Turkey,John Mountains Temple,Desert,medium,Mar-May,"temple visit, skiing, technology, shopping"
West Virginia,Iceland,Stokes Route Park,Cultural,low,Dec-Feb,"food, yoga, shopping"
Goa,India,Dudhsagar Falls,Historical,medium,Jan-Mar,"relaxing, skiing, trekking"
West Bengal,India,Victoria Memorial,Adventure,medium,Mar-May,"wildlife, nightlife, shopping, trekking"
New Jersey,Mali,Parker Row Fort,Cultural,low,Dec-Feb,"relaxing, shopping, wildlife, nightlife"
Montana,Malta,Byrd Shores Temple,Adventure,low,June-Aug,"safari, nightlife, technology, culture"
Pennsylvania,Pakistan,Humphrey Square Fort,Mountain,luxury,Mar-May,"nightlife, safari, wildlife"
Rajasthan,India,Hawa Mahal,Cultural,low,Sep-Nov,"shopping, safari"
Wisconsin,Hungary,Colon Underpass Beach,Cultural,high,Mar-May,"skiing, surfing, temple visit, shopping"
New Hampshire,Korea,Navarro Summit Beach,Desert,low,Jan-Mar,"surfing, wildlife"
Arizona,Saint Kitts and Nevis,Washington Mountain Beach,Cultural,low,Dec-Feb,"safari, trekking, shopping"
Oklahoma,India,Gregory Views Tower,Mountain,high,Mar-May,"relaxing, skiing, trekking, shopping"
Nevada,Kiribati,Johnson Port Tower,Adventure,low,Dec-Feb,"skiing, yoga, food"
Wyoming,Saint Vincent and the Grenadines,Ryan Valley Temple,Beach,luxury,Mar-May,"temple visit, nightlife, trekking"
Rhode Island,Hungary,Keith Estate Tower,Adventure,luxury,Mar-May,"wildlife, shopping, temple visit, safari"
Uttarakhand,India,Kedarnath,Cultural,high,Mar-May,"culture, temple visit, wildlife, safari"
Maryland,Belarus,Jones Knolls Beach,Adventure,low,Dec-Feb,"shopping, skiing, culture"
Massachusetts,Armenia,Woodward Extensions Park,Cultural,low,Dec-Feb,"culture, trekking"
Georgia,Puerto Rico,Robert Streets Temple,Historical,high,Dec-Feb,"technology, culture"
Kansas,Falkland Islands (Malvinas),Christopher Square Fort,Beach,luxury,Sep-Nov,"yoga, temple visit"
Texas,Azerbaijan,Townsend Prairie Temple,Cultural,medium,Dec-Feb,"safari, skiing, technology"
Kerala,India,Alleppey Backwaters,Urban,low,Mar-May,"yoga, trekking, temple visit, relaxing"
Maharashtra,India,Gateway of India,Historical,low,Sep-Nov,"trekking, skiing, culture, safari"
Rhode Island,Grenada,Christy Lane Bay,Adventure,high,Dec-Feb,"nightlife, yoga, surfing, technology"
Kansas,Korea,Jessica Pass Fort,Historical,medium,Mar-May,"shopping, technology, yoga, skiing"
Connecticut,Israel,Walker Turnpike Bay,Urban,high,Sep-Nov,"skiing, food"
Goa,India,Dudhsagar Falls,Adventure,low,Jan-Mar,"culture, trekking"
West Bengal,India,Sundarbans,Cultural,luxury,Sep-Nov,"culture, skiing"
Delhi,India,Qutub Minar,Adventure,medium,Mar-May,"skiing, trekking, surfing"
Goa,India,Baga Beach,Mountain,high,Jan-Mar,"culture, wildlife"
Oklahoma,Vanuatu,Archer Ports Tower,Cultural,medium,Sep-Nov,"yoga, temple visit, nightlife"
Uttarakhand,India,Kedarnath,Mountain,high,June-Aug,"skiing, surfing, culture"
Kerala,India,Alleppey Backwaters,Beach,medium,Jan-Mar,"skiing, shopping, temple visit"
Uttar Pradesh,India,Varanasi Ghats,Urban,high,June-Aug,"skiing, surfing, wildlife, nightlife"
Mississippi,Macedonia,Martin Corners Tower,Adventure,high,Sep-Nov,"technology, surfing"
Massachusetts,South Africa,Page Road Tower,Desert,medium,Dec-Feb,"temple visit, technology, skiing"
Hawaii,Estonia,Jenna Mall Beach,Desert,medium,June-Aug,"temple visit, wildlife, shopping, food"
