State,Country,Place,type,budget,season,activities,latitude,longitude,display_name,importance
Goa,India,Dudhsagar Falls,waterfall,low,Mar-May,"food, technology, temple visit, nightlife",15.3156176,74.3142493,"Dudhsagar Falls, Dharbandora, South Goa, Goa, India",0.384933902
West Bengal,India,Sundarbans,religious,high,Jan-Mar,"temple visit, yoga, nightlife",22.031588,88.6873161,"Royal Sundarbans Wild Resort, Lot-126, Basanti, South 24 Parganas, West Bengal, India",0.106704168
Delhi,India,India Gate,attraction,luxury,Dec-Feb,"skiing, wildlife, surfing",28.6129332,77.2294928,"India Gate, Shahjahan Road, Pandara Park, Chanakya Puri Tehsil, New Delhi, Delhi, 020626, India",0.463057083
Kerala,India,Alleppey Backwaters,travel_agency,high,June-Aug,"nightlife, food, shopping, wildlife",9.506952,76.35377,"Alleppey Backwaters Booking, Thathampally-Punnamada Road, Thathampally, Cheramankulangara, Alappuzha, Ambalappuzha, Alappuzha, Kerala, 688001, India",5.47e-05
Tamil Nadu,India,Ooty,town,medium,Jan-Mar,"safari, culture, yoga, food",11.4126769,76.7030504,"Udhagamandalam, Nilgiris, Tamil Nadu, 643001, India",0.478837753
Uttar Pradesh,India,Taj Mahal,attraction,medium,Dec-Feb,"culture, shopping",27.1750075,78.0421013,"Taj Mahal, Taj East Gate Road, Taj Ganj, Agra, Uttar Pradesh, 282004, India",0.593332097
Maharashtra,India,Gateway of India,monument,low,Dec-Feb,"nightlife, safari, skiing",18.9219661,72.8345657,"Gateway of India - गेटवे ऑफ इंडिया, Apollo Bandar, A Ward, Zone 1, Mumbai City, Maharashtra, 400032, India",0.437470225
Karnataka,India,Mysore Palace,castle,low,Jan-Mar,"relaxing, safari",12.3052196,76.6553846,"Mysore Palace, Albert Victor Road, Nazarbad, Mysuru, Mysuru taluk, Mysuru, Karnataka, 570001, India",0.378340272
West Bengal,India,Victoria Memorial,station,medium,Mar-May,"wildlife, nightlife, shopping, trekking",17.3618537,78.5439302,"Victoria Memorial, Dilsukh Nagar Main Road, Margadarsi Colony, Ward 20 RK Puram, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Saroornagar mandal, Ranga Reddy, Telangana, 500076, India",0.196347348
Rajasthan,India,Hawa Mahal,attraction,low,Sep-Nov,"shopping, safari",26.923932,75.8268652,"Hawa Mahal, Amer Road, Ramganj, Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302001, India",0.394851821
Uttarakhand,India,Kedarnath,town,high,Mar-May,"culture, temple visit, wildlife, safari",30.7338877,79.0669073,"Kedarnath, Ukhimath, Rudraprayag, Uttarakhand, India",0.160048834
